,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
30,31,Milwaukee,Wisconsin,"592,025",43.0633,-87.9667,"Milwaukee, Wisconsin",0,Pizza Place,American Restaurant,Italian Restaurant,Café,Mexican Restaurant,Sandwich Place,Bakery,Burger Joint,Breakfast Spot,Seafood Restaurant,Steakhouse,Deli / Bodega,BBQ Joint,Thai Restaurant,Tapas Restaurant,Vegetarian / Vegan Restaurant,French Restaurant,New American Restaurant,Gastropub,Mediterranean Restaurant,Southern / Soul Food Restaurant,Cajun / Creole Restaurant,Peruvian Restaurant,Greek Restaurant,Fast Food Restaurant
31,32,Albuquerque,New Mexico,"560,218",35.1056,-106.6474,"Albuquerque, New Mexico",1,Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Café,Steakhouse,Sushi Restaurant,Breakfast Spot,BBQ Joint,Vietnamese Restaurant,Italian Restaurant,Bagel Shop,Thai Restaurant,Asian Restaurant,Donut Shop,Middle Eastern Restaurant,Fast Food Restaurant,Salad Place,Japanese Restaurant,Diner,Caribbean Restaurant,New American Restaurant,Seafood Restaurant,Peruvian Restaurant
32,33,Tucson,Arizona,"545,975",32.1531,-110.8706,"Tucson, Arizona",1,Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Steakhouse,Bakery,Vietnamese Restaurant,Italian Restaurant,Diner,Café,Indian Restaurant,Deli / Bodega,Fast Food Restaurant,Salad Place,Taco Place,Mediterranean Restaurant,Mac & Cheese Joint,Chinese Restaurant,Burrito Place,New American Restaurant,Southern / Soul Food Restaurant,French Restaurant,Fried Chicken Joint
33,34,Fresno,California,"530,093",36.7836,-119.7934,"Fresno, California",1,Mexican Restaurant,Burger Joint,American Restaurant,Steakhouse,Italian Restaurant,Japanese Restaurant,Sushi Restaurant,Bakery,BBQ Joint,Chinese Restaurant,Breakfast Spot,Mediterranean Restaurant,Thai Restaurant,Diner,Pizza Place,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,Deli / Bodega,Salad Place,Café,Wings Joint,Noodle House,Bagel Shop,Asian Restaurant
34,35,Mesa,Arizona,"508,958",33.4019,-111.7174,"Mesa, Arizona",0,Pizza Place,Sandwich Place,American Restaurant,Mexican Restaurant,Italian Restaurant,Breakfast Spot,Burger Joint,Mediterranean Restaurant,Sushi Restaurant,Café,BBQ Joint,Korean Restaurant,Gastropub,Japanese Restaurant,German Restaurant,New American Restaurant,Seafood Restaurant,Chinese Restaurant,Deli / Bodega,Middle Eastern Restaurant,Burrito Place,Soup Place,South American Restaurant,Diner,Greek Restaurant
35,36,Sacramento,California,"508,529",38.5666,-121.4686,"Sacramento, California",1,Mexican Restaurant,American Restaurant,Pizza Place,Bakery,New American Restaurant,Sandwich Place,Burger Joint,Sushi Restaurant,Café,Seafood Restaurant,French Restaurant,Japanese Restaurant,Italian Restaurant,Vietnamese Restaurant,Deli / Bodega,Steakhouse,Breakfast Spot,Food Truck,Asian Restaurant,Donut Shop,Diner,Vegetarian / Vegan Restaurant,Ethiopian Restaurant,German Restaurant,Fast Food Restaurant
36,37,Atlanta,Georgia,"498,044",33.7629,-84.4227,"Atlanta, Georgia",3,American Restaurant,Pizza Place,Mediterranean Restaurant,Southern / Soul Food Restaurant,Italian Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Seafood Restaurant,Thai Restaurant,Steakhouse,Bakery,Gastropub,BBQ Joint,Café,Sushi Restaurant,Deli / Bodega,French Restaurant,Taco Place,Burger Joint,Tapas Restaurant,Fast Food Restaurant,Cuban Restaurant,Ramen Restaurant,Vietnamese Restaurant
37,38,Kansas City,Missouri,"491,918",39.1251,-94.551,"Kansas City, Missouri",6,American Restaurant,Italian Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Breakfast Spot,BBQ Joint,Seafood Restaurant,New American Restaurant,Sandwich Place,Gastropub,French Restaurant,Steakhouse,Tapas Restaurant,Bakery,Donut Shop,Cajun / Creole Restaurant,Mediterranean Restaurant,Comfort Food Restaurant,Chinese Restaurant,Café,Deli / Bodega,Middle Eastern Restaurant,Ethiopian Restaurant,Scandinavian Restaurant
38,39,Colorado Springs,Colorado,"472,688",38.8673,-104.7607,"Colorado Springs, Colorado",0,Pizza Place,Italian Restaurant,American Restaurant,Breakfast Spot,Mexican Restaurant,Café,Bakery,Diner,Fast Food Restaurant,Steakhouse,BBQ Joint,Greek Restaurant,Deli / Bodega,Thai Restaurant,Burger Joint,German Restaurant,Asian Restaurant,French Restaurant,Mediterranean Restaurant,Fondue Restaurant,Sandwich Place,Irish Pub,Middle Eastern Restaurant,Chinese Restaurant,Donut Shop
39,40,Miami,Florida,"470,914",25.7752,-80.2086,"Miami, Florida",3,Seafood Restaurant,American Restaurant,Italian Restaurant,Bakery,Mexican Restaurant,Peruvian Restaurant,Pizza Place,Argentinian Restaurant,Café,Japanese Restaurant,Spanish Restaurant,Cuban Restaurant,French Restaurant,Sandwich Place,South American Restaurant,New American Restaurant,Gastropub,Vegetarian / Vegan Restaurant,Asian Restaurant,Taco Place,Tapas Restaurant,Latin American Restaurant,Food Truck,Donut Shop,Mediterranean Restaurant
40,41,Raleigh,North Carolina,"469,298",35.8306,-78.6418,"Raleigh, North Carolina",2,American Restaurant,Mediterranean Restaurant,Southern / Soul Food Restaurant,Mexican Restaurant,Sushi Restaurant,Breakfast Spot,Steakhouse,Bakery,Burger Joint,Sandwich Place,Fast Food Restaurant,Italian Restaurant,Pizza Place,Asian Restaurant,Café,Gastropub,Diner,Donut Shop,Japanese Restaurant,Seafood Restaurant,Peruvian Restaurant,Korean Restaurant,Salad Place,Chinese Restaurant,New American Restaurant
41,42,Omaha,Nebraska,"468,262",41.2644,-96.0451,"Omaha, Nebraska",0,American Restaurant,Pizza Place,Gastropub,Sandwich Place,Seafood Restaurant,Steakhouse,Burger Joint,Bakery,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Mexican Restaurant,Chinese Restaurant,Diner,Café,Deli / Bodega,Thai Restaurant,Donut Shop,Food Court,Greek Restaurant,Vietnamese Restaurant,Salad Place,Fast Food Restaurant,Ethiopian Restaurant,Mediterranean Restaurant
42,43,Long Beach,California,"467,354",33.8092,-118.1553,"Long Beach, California",5,Pizza Place,Italian Restaurant,Bakery,Mexican Restaurant,Sandwich Place,Seafood Restaurant,American Restaurant,Burger Joint,Taco Place,Korean Restaurant,Sushi Restaurant,Deli / Bodega,Mediterranean Restaurant,New American Restaurant,Donut Shop,Fast Food Restaurant,Steakhouse,Food Court,Fried Chicken Joint,Asian Restaurant,Filipino Restaurant,Falafel Restaurant,Cajun / Creole Restaurant,Diner,Latin American Restaurant
43,44,Virginia Beach,Virginia,"450,189",36.78,-76.0252,"Virginia Beach, Virginia",3,American Restaurant,Seafood Restaurant,Breakfast Spot,Sandwich Place,Mexican Restaurant,Italian Restaurant,Pizza Place,Sushi Restaurant,Burger Joint,Fast Food Restaurant,Donut Shop,Chinese Restaurant,Steakhouse,New American Restaurant,Vietnamese Restaurant,Thai Restaurant,BBQ Joint,Gastropub,Bakery,Mediterranean Restaurant,Fondue Restaurant,Caribbean Restaurant,Comfort Food Restaurant,Deli / Bodega,Diner
44,45,Oakland,California,"429,082",37.7698,-122.2257,"Oakland, California",5,Café,Pizza Place,Bakery,Mexican Restaurant,New American Restaurant,Food Truck,Vietnamese Restaurant,Asian Restaurant,Mediterranean Restaurant,Sandwich Place,Thai Restaurant,Breakfast Spot,Deli / Bodega,Italian Restaurant,Japanese Restaurant,Sushi Restaurant,Spanish Restaurant,American Restaurant,French Restaurant,Latin American Restaurant,Moroccan Restaurant,Seafood Restaurant,Dim Sum Restaurant,Russian Restaurant,Salad Place
45,46,Minneapolis,Minnesota,"425,403",44.9633,-93.2683,"Minneapolis, Minnesota",0,Pizza Place,American Restaurant,Italian Restaurant,New American Restaurant,Steakhouse,Mexican Restaurant,Vietnamese Restaurant,Bakery,Breakfast Spot,Sushi Restaurant,Food Truck,Scandinavian Restaurant,Burger Joint,Diner,Eastern European Restaurant,Asian Restaurant,Middle Eastern Restaurant,Café,Greek Restaurant,Caribbean Restaurant,Churrascaria,Food Court,Latin American Restaurant,Cuban Restaurant,Donut Shop
46,47,Tulsa,Oklahoma,"400,669",36.1279,-95.9023,"Tulsa, Oklahoma",1,Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Asian Restaurant,Deli / Bodega,Bakery,Seafood Restaurant,Steakhouse,Vietnamese Restaurant,New American Restaurant,Bagel Shop,Fast Food Restaurant,Italian Restaurant,Gastropub,Cajun / Creole Restaurant,German Restaurant,BBQ Joint,Diner,Mediterranean Restaurant,Chinese Restaurant,Café,Hot Dog Joint,Donut Shop,Caribbean Restaurant
47,48,Arlington,Texas,"398,112",32.7007,-97.1247,"Arlington, Texas",2,Seafood Restaurant,American Restaurant,Mexican Restaurant,Burger Joint,Pizza Place,Sushi Restaurant,BBQ Joint,Taco Place,Steakhouse,Fast Food Restaurant,Bakery,Italian Restaurant,Sandwich Place,Deli / Bodega,Latin American Restaurant,New American Restaurant,Café,Mediterranean Restaurant,Diner,Greek Restaurant,Japanese Restaurant,Vegetarian / Vegan Restaurant,Fried Chicken Joint,Southern / Soul Food Restaurant,Tex-Mex Restaurant
48,49,Tampa,Florida,"392,890",27.9701,-82.4797,"Tampa, Florida",0,Pizza Place,American Restaurant,Italian Restaurant,Mexican Restaurant,New American Restaurant,Sandwich Place,Seafood Restaurant,Fast Food Restaurant,Sushi Restaurant,Cuban Restaurant,Caribbean Restaurant,Bakery,Breakfast Spot,Steakhouse,Diner,Spanish Restaurant,Fried Chicken Joint,Thai Restaurant,Vietnamese Restaurant,BBQ Joint,Brazilian Restaurant,Korean Restaurant,Greek Restaurant,Argentinian Restaurant,Asian Restaurant
49,50,New Orleans,Louisiana,"391,006",30.0534,-89.9345,"New Orleans, Louisiana",2,Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Sandwich Place,American Restaurant,French Restaurant,Seafood Restaurant,Café,Italian Restaurant,BBQ Joint,Breakfast Spot,Bakery,Pizza Place,Deli / Bodega,Caribbean Restaurant,New American Restaurant,Japanese Restaurant,Mediterranean Restaurant,Mexican Restaurant,Vietnamese Restaurant,Hot Dog Joint,Wings Joint,German Restaurant,Gastropub,Fried Chicken Joint,Falafel Restaurant
50,51,Wichita,Kansas,"389,255",37.6907,-97.3459,"Wichita, Kansas",1,Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Mediterranean Restaurant,Deli / Bodega,Seafood Restaurant,Vietnamese Restaurant,Diner,Bakery,BBQ Joint,Breakfast Spot,Italian Restaurant,Steakhouse,Chinese Restaurant,Fast Food Restaurant,Taco Place,Sandwich Place,Sushi Restaurant,Tex-Mex Restaurant,Middle Eastern Restaurant,Noodle House,Gastropub,Latin American Restaurant,New American Restaurant
51,52,Cleveland,Ohio,"383,793",41.4785,-81.6794,"Cleveland, Ohio",5,Bakery,Sandwich Place,Café,Diner,Pizza Place,Gastropub,Mexican Restaurant,American Restaurant,Seafood Restaurant,New American Restaurant,Steakhouse,Sushi Restaurant,Mediterranean Restaurant,Chinese Restaurant,Deli / Bodega,Vietnamese Restaurant,Southern / Soul Food Restaurant,Ramen Restaurant,Burger Joint,BBQ Joint,Thai Restaurant,Taco Place,Middle Eastern Restaurant,Asian Restaurant,Falafel Restaurant
52,53,Bakersfield,California,"383,579",35.3212,-119.0183,"Bakersfield, California",1,Mexican Restaurant,Pizza Place,Burger Joint,American Restaurant,Steakhouse,Sandwich Place,Italian Restaurant,Bakery,Breakfast Spot,Sushi Restaurant,Diner,BBQ Joint,Thai Restaurant,Japanese Restaurant,Chinese Restaurant,Mediterranean Restaurant,Deli / Bodega,Café,Middle Eastern Restaurant,Modern European Restaurant,Fast Food Restaurant,Donut Shop,Food,Southern / Soul Food Restaurant,Bagel Shop
53,54,Aurora,Colorado,"374,114",39.688,-104.6897,"Aurora, Colorado",6,American Restaurant,Sandwich Place,Breakfast Spot,Mexican Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Sushi Restaurant,New American Restaurant,Fast Food Restaurant,Taco Place,Steakhouse,Diner,BBQ Joint,Thai Restaurant,Seafood Restaurant,Deli / Bodega,Asian Restaurant,Chinese Restaurant,Bistro,Cajun / Creole Restaurant,Mediterranean Restaurant,Donut Shop,Burrito Place,Comfort Food Restaurant
54,55,Anaheim,California,"352,005",33.8555,-117.7601,"Anaheim, California",5,Bakery,Pizza Place,Mexican Restaurant,American Restaurant,Steakhouse,Sandwich Place,Burger Joint,Café,Seafood Restaurant,Korean Restaurant,Italian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Deli / Bodega,BBQ Joint,Breakfast Spot,Japanese Restaurant,Salad Place,Food Court,Chinese Restaurant,Latin American Restaurant,Cuban Restaurant,Bagel Shop
55,56,Honolulu,Hawaii,"347,397",21.3243,-157.8476,"Honolulu, Hawaii",5,Japanese Restaurant,Café,Hawaiian Restaurant,Bakery,Diner,Noodle House,Steakhouse,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,Breakfast Spot,French Restaurant,Korean Restaurant,New American Restaurant,Gastropub,Pizza Place,Chinese Restaurant,Food Truck,Food Court,Mediterranean Restaurant,Middle Eastern Restaurant,Hotpot Restaurant,Hot Dog Joint,Food,Irish Pub
56,57,Santa Ana,California,"332,725",33.7363,-117.883,"Santa Ana, California",3,American Restaurant,Seafood Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Steakhouse,Italian Restaurant,Korean Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Sushi Restaurant,Café,Japanese Restaurant,French Restaurant,Donut Shop,New American Restaurant,Latin American Restaurant,Chinese Restaurant,Food Court,Salad Place,Deli / Bodega,Cuban Restaurant
57,58,Riverside,California,"330,063",33.9381,-117.3932,"Riverside, California",1,Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Burger Joint,Thai Restaurant,Fast Food Restaurant,Bakery,Sushi Restaurant,BBQ Joint,Hot Dog Joint,Gastropub,Mediterranean Restaurant,Taco Place,Italian Restaurant,Steakhouse,Breakfast Spot,Café,Korean Restaurant,Diner,Chinese Restaurant,Caribbean Restaurant,Deli / Bodega,Donut Shop,South American Restaurant
58,59,Corpus Christi,Texas,"326,554",27.7543,-97.1734,"Corpus Christi, Texas",3,Seafood Restaurant,Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Steakhouse,Deli / Bodega,Asian Restaurant,Vietnamese Restaurant,Café,BBQ Joint,Diner,Fast Food Restaurant,Sandwich Place,Taco Place,Bakery,Thai Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Chinese Restaurant,New American Restaurant,Mediterranean Restaurant,Peruvian Restaurant,Korean Restaurant,Italian Restaurant
59,60,Lexington,Kentucky,"323,780",38.0407,-84.4583,"Lexington, Kentucky",6,American Restaurant,Pizza Place,Mexican Restaurant,Steakhouse,Italian Restaurant,Burger Joint,Breakfast Spot,Café,Fast Food Restaurant,Fried Chicken Joint,Taco Place,Diner,Seafood Restaurant,Korean Restaurant,Mediterranean Restaurant,BBQ Joint,French Restaurant,Bakery,Cuban Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Salad Place,Latin American Restaurant,Sandwich Place,Chinese Restaurant
60,61,Stockton,California,"311,178",37.9763,-121.3133,"Stockton, California",1,Mexican Restaurant,Pizza Place,American Restaurant,Bakery,Burger Joint,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Sushi Restaurant,Breakfast Spot,Italian Restaurant,Indian Restaurant,Sandwich Place,Thai Restaurant,Diner,Japanese Restaurant,Seafood Restaurant,Café,Greek Restaurant,Food Truck,Filipino Restaurant,Snack Place,Deli / Bodega,Wings Joint,Afghan Restaurant
61,62,Henderson,Nevada,"310,390",36.0097,-115.0357,"Henderson, Nevada",2,Steakhouse,Mexican Restaurant,Sushi Restaurant,American Restaurant,Burger Joint,Pizza Place,Breakfast Spot,Italian Restaurant,Japanese Restaurant,Café,Diner,Fast Food Restaurant,Sandwich Place,Asian Restaurant,French Restaurant,Fried Chicken Joint,Brazilian Restaurant,Korean Restaurant,BBQ Joint,New American Restaurant,Taco Place,Donut Shop,Seafood Restaurant,Deli / Bodega,Hawaiian Restaurant
62,63,Saint Paul,Minnesota,"307,695",44.9489,-93.1041,"Saint Paul, Minnesota",0,Pizza Place,American Restaurant,Vietnamese Restaurant,Mexican Restaurant,Bakery,New American Restaurant,Italian Restaurant,Burger Joint,Sandwich Place,Southern / Soul Food Restaurant,Breakfast Spot,Sushi Restaurant,Eastern European Restaurant,Deli / Bodega,Scandinavian Restaurant,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Japanese Restaurant,BBQ Joint,African Restaurant,German Restaurant,Mediterranean Restaurant,Diner,Gastropub
63,64,St. Louis,Missouri,"302,838",38.6357,-90.2446,"St. Louis, Missouri",0,Pizza Place,Sandwich Place,Italian Restaurant,American Restaurant,New American Restaurant,BBQ Joint,Bakery,Mexican Restaurant,Café,Breakfast Spot,Taco Place,Deli / Bodega,Steakhouse,Donut Shop,Vegetarian / Vegan Restaurant,Southern / Soul Food Restaurant,Thai Restaurant,Gastropub,French Restaurant,Chinese Restaurant,Vietnamese Restaurant,Greek Restaurant,Fast Food Restaurant,Diner,Middle Eastern Restaurant
64,65,Cincinnati,Ohio,"302,605",39.1402,-84.5058,"Cincinnati, Ohio",0,Pizza Place,American Restaurant,Italian Restaurant,Sandwich Place,Breakfast Spot,Bakery,New American Restaurant,BBQ Joint,Gastropub,Mexican Restaurant,Café,Burger Joint,Sushi Restaurant,Fried Chicken Joint,Vietnamese Restaurant,Indian Restaurant,Taco Place,Chinese Restaurant,Steakhouse,Thai Restaurant,Diner,Asian Restaurant,Fast Food Restaurant,Donut Shop,Greek Restaurant
65,66,Pittsburgh,Pennsylvania,"301,048",40.4398,-79.9766,"Pittsburgh, Pennsylvania",0,American Restaurant,Pizza Place,Bakery,Sandwich Place,Italian Restaurant,Thai Restaurant,Mexican Restaurant,Seafood Restaurant,Mediterranean Restaurant,New American Restaurant,Diner,Burger Joint,French Restaurant,Breakfast Spot,Deli / Bodega,Steakhouse,Asian Restaurant,German Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Korean Restaurant,Comfort Food Restaurant,Turkish Restaurant,Peruvian Restaurant,Gastropub
66,67,Greensboro,North Carolina,"294,722",36.0951,-79.827,"Greensboro, North Carolina",1,Pizza Place,Mexican Restaurant,American Restaurant,Burger Joint,Fast Food Restaurant,Mediterranean Restaurant,Italian Restaurant,Seafood Restaurant,Steakhouse,Vietnamese Restaurant,Southern / Soul Food Restaurant,Diner,Bakery,Asian Restaurant,Greek Restaurant,Donut Shop,Chinese Restaurant,Deli / Bodega,Breakfast Spot,Taco Place,Bagel Shop,BBQ Joint,Eastern European Restaurant,Gastropub,Thai Restaurant
67,68,Anchorage,Alaska,"291,538",61.1743,-149.2843,"Anchorage, Alaska",1,Mexican Restaurant,American Restaurant,Seafood Restaurant,Diner,Steakhouse,Bakery,Burger Joint,Pizza Place,Asian Restaurant,Breakfast Spot,Vietnamese Restaurant,Sushi Restaurant,Thai Restaurant,Italian Restaurant,Deli / Bodega,Sandwich Place,Chinese Restaurant,Fast Food Restaurant,Café,Bagel Shop,Mediterranean Restaurant,Shabu-Shabu Restaurant,Cajun / Creole Restaurant,Vegetarian / Vegan Restaurant,New American Restaurant
68,69,Plano,Texas,"288,061",33.0508,-96.7479,"Plano, Texas",2,American Restaurant,BBQ Joint,Pizza Place,Burger Joint,Sushi Restaurant,Steakhouse,Taco Place,Italian Restaurant,Mexican Restaurant,Seafood Restaurant,Southern / Soul Food Restaurant,New American Restaurant,Café,Greek Restaurant,Fast Food Restaurant,Breakfast Spot,Bakery,Japanese Restaurant,Food Court,Chinese Restaurant,Latin American Restaurant,Thai Restaurant,Tex-Mex Restaurant,Asian Restaurant,Brazilian Restaurant
69,70,Lincoln,Nebraska,"287,401",40.8105,-96.6803,"Lincoln, Nebraska",1,American Restaurant,Sandwich Place,Chinese Restaurant,Mexican Restaurant,Pizza Place,Bakery,Café,Italian Restaurant,Steakhouse,Fried Chicken Joint,BBQ Joint,Indian Restaurant,Fast Food Restaurant,Burger Joint,Bagel Shop,Asian Restaurant,Diner,Donut Shop,Noodle House,French Restaurant,Irish Pub,Falafel Restaurant,Deli / Bodega,Middle Eastern Restaurant,Seafood Restaurant
70,71,Orlando,Florida,"285,713",28.4166,-81.2736,"Orlando, Florida",0,American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Breakfast Spot,Sandwich Place,Café,Brazilian Restaurant,Bakery,Fast Food Restaurant,Seafood Restaurant,Sushi Restaurant,Latin American Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Cuban Restaurant,Mexican Restaurant,Steakhouse,Bistro,BBQ Joint,Tapas Restaurant,Food Truck,Cajun / Creole Restaurant,Peruvian Restaurant,Ramen Restaurant
71,72,Irvine,California,"282,572",33.6784,-117.7713,"Irvine, California",3,Mexican Restaurant,American Restaurant,Seafood Restaurant,Sandwich Place,Pizza Place,Bakery,Burger Joint,Italian Restaurant,New American Restaurant,Café,Vegetarian / Vegan Restaurant,Donut Shop,Fast Food Restaurant,Korean Restaurant,Deli / Bodega,Sushi Restaurant,Steakhouse,French Restaurant,Tapas Restaurant,Asian Restaurant,Taco Place,BBQ Joint,Mediterranean Restaurant,Latin American Restaurant,Salad Place
72,73,Newark,New Jersey,"282,090",40.7242,-74.1726,"Newark, New Jersey",5,Bakery,Pizza Place,Italian Restaurant,Café,Sandwich Place,Sushi Restaurant,Thai Restaurant,Chinese Restaurant,New American Restaurant,Mediterranean Restaurant,Seafood Restaurant,American Restaurant,Taco Place,Japanese Restaurant,Deli / Bodega,Falafel Restaurant,Mexican Restaurant,Korean Restaurant,Diner,Food Court,Noodle House,Hot Dog Joint,Colombian Restaurant,Ramen Restaurant,Salad Place
73,74,Toledo,Ohio,"274,975",41.6641,-83.5819,"Toledo, Ohio",0,Pizza Place,American Restaurant,Italian Restaurant,Sushi Restaurant,Mexican Restaurant,Diner,Steakhouse,Fast Food Restaurant,Mediterranean Restaurant,Burger Joint,Sandwich Place,BBQ Joint,Bakery,Lebanese Restaurant,Seafood Restaurant,Middle Eastern Restaurant,Bagel Shop,Breakfast Spot,Hot Dog Joint,Wings Joint,Korean Restaurant,Japanese Restaurant,Molecular Gastronomy Restaurant,Indian Restaurant,Mongolian Restaurant
74,75,Durham,North Carolina,"274,291",35.9811,-78.9029,"Durham, North Carolina",1,Sandwich Place,Breakfast Spot,Burger Joint,Pizza Place,Mexican Restaurant,American Restaurant,Fast Food Restaurant,Bakery,Gastropub,Mediterranean Restaurant,Café,Italian Restaurant,Donut Shop,Asian Restaurant,French Restaurant,Sushi Restaurant,Steakhouse,Seafood Restaurant,BBQ Joint,Peruvian Restaurant,Tapas Restaurant,Venezuelan Restaurant,Arepa Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega
75,76,Chula Vista,California,"271,651",32.6277,-117.0152,"Chula Vista, California",3,Mexican Restaurant,Seafood Restaurant,Taco Place,Italian Restaurant,Pizza Place,Steakhouse,Sushi Restaurant,Burger Joint,Food Truck,American Restaurant,Café,Sandwich Place,Middle Eastern Restaurant,Deli / Bodega,Breakfast Spot,Bakery,Creperie,Fish & Chips Shop,Food Court,Chinese Restaurant,Molecular Gastronomy Restaurant,Donut Shop,New American Restaurant,Gastropub,Argentinian Restaurant
76,77,Fort Wayne,Indiana,"267,633",41.0882,-85.1439,"Fort Wayne, Indiana",1,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,Steakhouse,Sandwich Place,Bakery,Fast Food Restaurant,Chinese Restaurant,Greek Restaurant,Japanese Restaurant,Breakfast Spot,BBQ Joint,Vietnamese Restaurant,Hot Dog Joint,Sushi Restaurant,Food Truck,Seafood Restaurant,Gastropub,Diner,Thai Restaurant,Burger Joint,Asian Restaurant,Grilled Meat Restaurant,Deli / Bodega
77,78,Jersey City,New Jersey,"265,549",40.7114,-74.0648,"Jersey City, New Jersey",5,Pizza Place,Italian Restaurant,Bakery,Café,Sushi Restaurant,Sandwich Place,Mediterranean Restaurant,American Restaurant,New American Restaurant,Thai Restaurant,Japanese Restaurant,Chinese Restaurant,Seafood Restaurant,Deli / Bodega,Greek Restaurant,Bagel Shop,Food Court,Breakfast Spot,Vegetarian / Vegan Restaurant,Udon Restaurant,Fried Chicken Joint,Mexican Restaurant,Caribbean Restaurant,Noodle House,Ramen Restaurant
78,79,St. Petersburg,Florida,"265,098",27.762,-82.6441,"St. Petersburg, Florida",0,Pizza Place,American Restaurant,Italian Restaurant,Mexican Restaurant,Café,Seafood Restaurant,Diner,New American Restaurant,Sandwich Place,Fried Chicken Joint,Steakhouse,Fast Food Restaurant,Gastropub,Greek Restaurant,Asian Restaurant,Burger Joint,Breakfast Spot,Ramen Restaurant,Ethiopian Restaurant,Deli / Bodega,Donut Shop,Latin American Restaurant,Cajun / Creole Restaurant,Hot Dog Joint,Bakery
79,80,Laredo,Texas,"261,639",27.5604,-99.4892,"Laredo, Texas",4,Mexican Restaurant,Burger Joint,Fast Food Restaurant,Taco Place,Pizza Place,Seafood Restaurant,Steakhouse,Sushi Restaurant,Wings Joint,Café,Comfort Food Restaurant,BBQ Joint,American Restaurant,Fried Chicken Joint,Sandwich Place,Noodle House,New American Restaurant,Mongolian Restaurant,Chinese Restaurant,Snack Place,Soup Place,Donut Shop,Buffet,Food,Tex-Mex Restaurant
80,81,Madison,Wisconsin,"258,054",43.0878,-89.4299,"Madison, Wisconsin",0,Pizza Place,American Restaurant,Café,Breakfast Spot,Bakery,Gastropub,New American Restaurant,Indian Restaurant,Italian Restaurant,Burger Joint,Noodle House,Steakhouse,Deli / Bodega,Diner,French Restaurant,Sushi Restaurant,Thai Restaurant,Vietnamese Restaurant,Asian Restaurant,Mexican Restaurant,Latin American Restaurant,Salad Place,Sandwich Place,Pelmeni House,Dim Sum Restaurant
81,82,Chandler,Arizona,"257,165",33.2829,-111.8549,"Chandler, Arizona",0,Pizza Place,Sandwich Place,American Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Breakfast Spot,BBQ Joint,Mediterranean Restaurant,Café,Sushi Restaurant,Steakhouse,Seafood Restaurant,Japanese Restaurant,Gastropub,German Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Greek Restaurant,Chinese Restaurant,Deli / Bodega,Middle Eastern Restaurant,Diner,English Restaurant,Fast Food Restaurant
82,83,Buffalo,New York,"256,304",42.8925,-78.8597,"Buffalo, New York",0,American Restaurant,Sandwich Place,Italian Restaurant,Pizza Place,New American Restaurant,Thai Restaurant,Café,Greek Restaurant,Donut Shop,Bakery,Sushi Restaurant,Hot Dog Joint,BBQ Joint,Japanese Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant,Diner,Burger Joint,Trattoria/Osteria,Mexican Restaurant,Steakhouse,Vietnamese Restaurant,Taco Place,Latin American Restaurant,Mediterranean Restaurant
