,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
257,258,Miami Gardens,Florida,"113,069",25.9489,-80.2436,"Miami Gardens, Florida",3,Italian Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,Sandwich Place,Food Truck,Peruvian Restaurant,Fast Food Restaurant,Café,Vegetarian / Vegan Restaurant,Donut Shop,Japanese Restaurant,Latin American Restaurant,Bakery,Argentinian Restaurant,Taco Place,Gastropub,Sushi Restaurant,Steakhouse,Cuban Restaurant,Spanish Restaurant,Chinese Restaurant,Burger Joint,Middle Eastern Restaurant
258,259,Manchester,New Hampshire,"112,525",42.9849,-71.4441,"Manchester, New Hampshire",6,American Restaurant,Café,Mexican Restaurant,Steakhouse,Diner,Sushi Restaurant,Seafood Restaurant,Breakfast Spot,Pizza Place,Italian Restaurant,Bakery,Bagel Shop,Sandwich Place,BBQ Joint,Asian Restaurant,New American Restaurant,Deli / Bodega,Greek Restaurant,Japanese Restaurant,Soup Place,Chinese Restaurant,Burrito Place,Burger Joint,Bistro,Vietnamese Restaurant
259,260,High Point,North Carolina,"112,316",35.99,-79.9905,"High Point, North Carolina",1,Pizza Place,Mexican Restaurant,Burger Joint,Fast Food Restaurant,American Restaurant,Bakery,Seafood Restaurant,Italian Restaurant,Donut Shop,Mediterranean Restaurant,Southern / Soul Food Restaurant,Steakhouse,Vietnamese Restaurant,Asian Restaurant,Greek Restaurant,Diner,Deli / Bodega,Chinese Restaurant,Thai Restaurant,Bagel Shop,BBQ Joint,Eastern European Restaurant,Sandwich Place,Ethiopian Restaurant,French Restaurant
260,261,Downey,California,"112,269",33.9382,-118.1309,"Downey, California",5,Pizza Place,Sandwich Place,Bakery,Italian Restaurant,Mexican Restaurant,Taco Place,Korean Restaurant,Mediterranean Restaurant,Deli / Bodega,Sushi Restaurant,Fast Food Restaurant,Burger Joint,Asian Restaurant,American Restaurant,Café,Fried Chicken Joint,Seafood Restaurant,Steakhouse,Food Court,New American Restaurant,Japanese Restaurant,Cuban Restaurant,Falafel Restaurant,Filipino Restaurant,Latin American Restaurant
261,262,Clovis,California,"112,022",36.8282,-119.6849,"Clovis, California",1,Mexican Restaurant,Burger Joint,Italian Restaurant,Japanese Restaurant,American Restaurant,Steakhouse,Breakfast Spot,Pizza Place,Bakery,Sushi Restaurant,Mediterranean Restaurant,Chinese Restaurant,BBQ Joint,Fast Food Restaurant,Sandwich Place,Thai Restaurant,Diner,Seafood Restaurant,Noodle House,Deli / Bodega,Café,Salad Place,Bistro,Taco Place,Gastropub
262,263,Pompano Beach,Florida,"111,954",26.2416,-80.1339,"Pompano Beach, Florida",3,Seafood Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Mexican Restaurant,Sandwich Place,Burger Joint,Steakhouse,Sushi Restaurant,Italian Restaurant,Fast Food Restaurant,New American Restaurant,Gastropub,Japanese Restaurant,Peruvian Restaurant,Cuban Restaurant,Greek Restaurant,Lebanese Restaurant,Chinese Restaurant,Fondue Restaurant,Diner,Mediterranean Restaurant,Café,Middle Eastern Restaurant,Bakery
263,264,Pueblo,Colorado,"111,750",38.2699,-104.6123,"Pueblo, Colorado",1,Pizza Place,Mexican Restaurant,Café,Italian Restaurant,Fast Food Restaurant,Steakhouse,Sandwich Place,Sushi Restaurant,American Restaurant,Diner,Deli / Bodega,Burger Joint,Bakery,Burrito Place,Noodle House,Asian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Breakfast Spot,Indian Restaurant,Food,Seafood Restaurant,Chinese Restaurant,Wings Joint,Irish Pub
264,265,Elgin,Illinois,"111,683",42.0396,-88.3217,"Elgin, Illinois",6,Hot Dog Joint,Breakfast Spot,Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,Japanese Restaurant,Donut Shop,Deli / Bodega,Snack Place,Sushi Restaurant,Steakhouse,Bakery,Asian Restaurant,French Restaurant,Café,New American Restaurant,Dim Sum Restaurant,Noodle House,Chinese Restaurant,Diner,German Restaurant
265,266,Lowell,Massachusetts,"111,670",42.639,-71.3211,"Lowell, Massachusetts",5,Bakery,Café,American Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Mexican Restaurant,Sandwich Place,Pizza Place,New American Restaurant,Diner,Donut Shop,Breakfast Spot,Japanese Restaurant,Bagel Shop,Deli / Bodega,Gastropub,Steakhouse,Dumpling Restaurant,Seafood Restaurant,Peruvian Restaurant,Comfort Food Restaurant,Wings Joint,Meze Restaurant,Fast Food Restaurant,Korean Restaurant
266,267,Antioch,California,"111,535",37.9791,-121.7962,"Antioch, California",5,Pizza Place,Mexican Restaurant,Café,Bakery,Sandwich Place,Italian Restaurant,American Restaurant,Burger Joint,Deli / Bodega,Diner,Fast Food Restaurant,Breakfast Spot,Sushi Restaurant,New American Restaurant,Thai Restaurant,Afghan Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Salad Place,Vietnamese Restaurant,Indian Restaurant,Latin American Restaurant,Seafood Restaurant,Japanese Restaurant,Taco Place
