,Rank,City,State,Population,Venue Name,Type,Latitude,Longitude
88,2,Los Angeles,California,"3,990,456",Gus's World Famous Fried Chicken,Fried Chicken Joint,34.04794610021919,-118.32647178177311
89,2,Los Angeles,California,"3,990,456",Ysabel West Hollywood,New American Restaurant,34.08862676090186,-118.36184593181149
90,2,Los Angeles,California,"3,990,456",Eveleigh,American Restaurant,34.09119676611786,-118.38190353079898
91,2,Los Angeles,California,"3,990,456",Pizzeria Mozza,Pizza Place,34.08313567708579,-118.33858040594735
92,2,Los Angeles,California,"3,990,456",Larchmont Village Wine & Cheese,Sandwich Place,34.07532702900654,-118.32370411332779
93,2,Los Angeles,California,"3,990,456",Laurel Hardware,American Restaurant,34.090524136089954,-118.36443131609103
94,2,Los Angeles,California,"3,990,456",Mendocino Farms,Sandwich Place,34.090666849082815,-118.34578578215304
95,2,Los Angeles,California,"3,990,456",Bludso's Bar & Que,BBQ Joint,34.082269864455725,-118.3442198863688
96,2,Los Angeles,California,"3,990,456",Chosun Galbee,Korean Restaurant,34.052416087101925,-118.31029186969897
97,2,Los Angeles,California,"3,990,456",Electric Owl,Restaurant,34.09788035649242,-118.35296424625284
98,2,Los Angeles,California,"3,990,456",Here's Looking at You,New American Restaurant,34.063635011708094,-118.30799946201167
99,2,Los Angeles,California,"3,990,456",Kang Ho Dong Baek Jeong,Korean Restaurant,34.063828184407775,-118.29736400234562
0,3,Chicago,Illinois,"2,705,994",Canton Regio,Mexican Restaurant,41.857971550034044,-87.66425762356093
1,3,Chicago,Illinois,"2,705,994",La Catedral Cafe & Restaurant,Restaurant,41.846218102048525,-87.70889447759849
2,3,Chicago,Illinois,"2,705,994",S.K.Y.,New American Restaurant,41.85786076872874,-87.65781234154781
3,3,Chicago,Illinois,"2,705,994",Little Sheep Mongolian Hot Pot,Chinese Restaurant,41.849700422181655,-87.63196762557331
4,3,Chicago,Illinois,"2,705,994",Qing Xiang Yuan Dumpling,Asian Restaurant,41.85507202582821,-87.63195045647198
5,3,Chicago,Illinois,"2,705,994",Conte Di Savoia European Specialties,Sandwich Place,41.86936263539156,-87.66326149831053
6,3,Chicago,Illinois,"2,705,994",Tuscany,Italian Restaurant,41.86963078840899,-87.65180697292573
7,3,Chicago,Illinois,"2,705,994",Manny's Cafeteria & Delicatessen,Restaurant,41.86793066712168,-87.64199136595965
8,3,Chicago,Illinois,"2,705,994",Aba,Mediterranean Restaurant,41.886852162003066,-87.64888478200851
9,3,Chicago,Illinois,"2,705,994",Publican Quality Meats,Deli / Bodega,41.886641964097095,-87.64871823183745
10,3,Chicago,Illinois,"2,705,994",Green Street Smoked Meats,BBQ Joint,41.88374674300202,-87.64881932838182
11,3,Chicago,Illinois,"2,705,994",Ricobene's,Pizza Place,41.84548308263435,-87.63389230631613
12,3,Chicago,Illinois,"2,705,994",Yassa African Restaurant,African Restaurant,41.83077998252134,-87.61690649584726
13,3,Chicago,Illinois,"2,705,994",Maude's Liquor Bar,French Restaurant,41.884465069792995,-87.64891837305171
14,3,Chicago,Illinois,"2,705,994",Bari,Sandwich Place,41.89117781715653,-87.6556284832498
15,3,Chicago,Illinois,"2,705,994",Momotaro,Japanese Restaurant,41.8856673631326,-87.64860372619373
16,3,Chicago,Illinois,"2,705,994",Little Goat Diner,Diner,41.88454042272216,-87.64849373875771
17,3,Chicago,Illinois,"2,705,994",J.P. Graziano Grocery,Italian Restaurant,41.88424552418926,-87.64982018359443
18,3,Chicago,Illinois,"2,705,994",Avec,New American Restaurant,41.88450370096197,-87.64346655892965
19,3,Chicago,Illinois,"2,705,994",Chicken Shop,Restaurant,41.88369280278223,-87.64853710358976
20,3,Chicago,Illinois,"2,705,994",Forno Rosso,Pizza Place,41.88440331390198,-87.65424919078053
21,3,Chicago,Illinois,"2,705,994",Girl & the Goat,New American Restaurant,41.884265013344944,-87.6479273869747
22,3,Chicago,Illinois,"2,705,994",Au Cheval,Burger Joint,41.884669,-87.647743
23,3,Chicago,Illinois,"2,705,994",Garrett Popcorn Shops - Citigroup Center,Snack Place,41.88222740963215,-87.64050481663978
24,3,Chicago,Illinois,"2,705,994",Duck Duck Goat,Chinese Restaurant,41.88676820890641,-87.6495103057492
25,3,Chicago,Illinois,"2,705,994",Eleven City Diner,Diner,41.86845,-87.626118
26,3,Chicago,Illinois,"2,705,994",Monteverde,Italian Restaurant,41.881734935594224,-87.6531296146718
27,3,Chicago,Illinois,"2,705,994",Coalfire,Pizza Place,41.89100033997468,-87.65975130944584
28,3,Chicago,Illinois,"2,705,994",Kai Zan,Japanese Restaurant,41.89559321879891,-87.691532505927
29,3,Chicago,Illinois,"2,705,994",Piccolo Sogno,Italian Restaurant,41.89085242143617,-87.64769816506221
30,3,Chicago,Illinois,"2,705,994",The Publican,New American Restaurant,41.88671904771414,-87.6488304749241
31,3,Chicago,Illinois,"2,705,994",Nini's Deli,Deli / Bodega,41.892424227559026,-87.66223418847832
